,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,2023-06-23,185.5500030517578,187.55999755859375,185.00999450683594,186.67999267578125,185.69381713867188,53079300
AAPL,2023-06-26,186.8300018310547,188.0500030517578,185.22999572753906,185.27000427246094,184.29129028320312,48088700
AAPL,2023-06-27,185.88999938964844,188.38999938964844,185.6699981689453,188.05999755859375,187.0665283203125,50730800
AAPL,2023-06-28,187.92999267578125,189.89999389648438,187.60000610351562,189.25,188.250244140625,51216800
AAPL,2023-06-29,189.0800018310547,190.07000732421875,188.94000244140625,189.58999633789062,188.58843994140625,46347300
AAPL,2023-06-30,191.6300048828125,194.47999572753906,191.25999450683594,193.97000122070312,192.9453125,85069600
AAPL,2023-07-03,193.77999877929688,193.8800048828125,191.75999450683594,192.4600067138672,191.44329833984375,31458200
AAPL,2023-07-05,191.57000732421875,192.97999572753906,190.6199951171875,191.3300018310547,190.31927490234375,46920300
AAPL,2023-07-06,189.83999633789062,192.02000427246094,189.1999969482422,191.80999755859375,190.79672241210938,45094300
AAPL,2023-07-07,191.41000366210938,192.6699981689453,190.24000549316406,190.67999267578125,189.6726837158203,46778000
AAPL,2023-07-10,189.25999450683594,189.99000549316406,187.0399932861328,188.61000061035156,187.61363220214844,59922200
AAPL,2023-07-11,189.16000366210938,189.3000030517578,186.60000610351562,188.0800018310547,187.08642578125,46638100
AAPL,2023-07-12,189.67999267578125,191.6999969482422,188.47000122070312,189.77000427246094,188.7675018310547,60750200
AAPL,2023-07-13,190.5,191.19000244140625,189.77999877929688,190.5399932861328,189.533447265625,41342300
AAPL,2023-07-14,190.22999572753906,191.17999267578125,189.6300048828125,190.69000244140625,189.68264770507812,41573900
AAPL,2023-07-17,191.89999389648438,194.32000732421875,191.80999755859375,193.99000549316406,192.96522521972656,50520200
AAPL,2023-07-18,193.35000610351562,194.3300018310547,192.4199981689453,193.72999572753906,192.7065887451172,48353800
AAPL,2023-07-19,193.10000610351562,198.22999572753906,192.64999389648438,195.10000610351562,194.06935119628906,80507300
AAPL,2023-07-20,195.08999633789062,196.47000122070312,192.5,193.1300048828125,192.10977172851562,59581200
AAPL,2023-07-21,194.10000610351562,194.97000122070312,191.22999572753906,191.94000244140625,190.92604064941406,71917800
AAPL,2023-07-24,193.41000366210938,194.91000366210938,192.25,192.75,191.7317657470703,45377800
